episode:137, score:7.13759552, epsilon:0.9981280000000616, global step:22079, avg_qmax:0.03818737665653988, memory:22079
episode:138, score:5.98920768, epsilon:0.9980155000000653, global step:22204, avg_qmax:0.03442290186882019, memory:22204
episode:139, score:8.045352959999997, epsilon:0.997841800000071, global step:22397, avg_qmax:0.0350742173125398, memory:22397
episode:140, score:3.8666815999999997, epsilon:0.9977599000000738, global step:22488, avg_qmax:0.03243556063990671, memory:22488
episode:141, score:6.7376512, epsilon:0.997630300000078, global step:22632, avg_qmax:0.03789665600440154, memory:22632
episode:142, score:4.110631040000001, epsilon:0.9975331000000812, global step:22740, avg_qmax:0.037194110142687954, memory:22740
episode:143, score:5.98920768, epsilon:0.9974233000000848, global step:22862, avg_qmax:0.04157332054598898, memory:22862
episode:144, score:7.26371904, epsilon:0.9972838000000894, global step:23017, avg_qmax:0.03611161593467958, memory:23017
episode:145, score:7.295249920000002, epsilon:0.9971362000000943, global step:23181, avg_qmax:0.0333182316659609, memory:23181
episode:146, score:6.910241280000002, epsilon:0.9970003000000988, global step:23332, avg_qmax:0.03998264972589269, memory:23332
episode:147, score:6.420682879999999, epsilon:0.9968689000001031, global step:23478, avg_qmax:0.03884282305020176, memory:23478
episode:148, score:7.20729536, epsilon:0.9967303000001076, global step:23632, avg_qmax:0.04045304079092555, memory:23632
episode:149, score:3.8666815999999997, epsilon:0.9966556000001101, global step:23715, avg_qmax:0.036112414044608555, memory:23715
episode:150, score:4.107312000000001, epsilon:0.996568300000113, global step:23812, avg_qmax:0.03983581139101196, memory:23812
episode:151, score:5.660622719999999, epsilon:0.996447700000117, global step:23946, avg_qmax:0.03194884379019043, memory:23946
episode:152, score:5.760193920000002, epsilon:0.9963226000001211, global step:24085, avg_qmax:0.03184632281605288, memory:24085
episode:153, score:51.14201727999999, epsilon:0.9960967000001285, global step:24336, avg_qmax:0.035436009372254294, memory:24336
episode:154, score:29.86584639999999, epsilon:0.9959059000001348, global step:24548, avg_qmax:0.03568291747591124, memory:24548
episode:155, score:5.836531840000001, epsilon:0.9957898000001386, global step:24677, avg_qmax:0.03320731603822043, memory:24677
episode:156, score:6.965005440000002, epsilon:0.9956476000001433, global step:24835, avg_qmax:0.03347251119823018, memory:24835
episode:157, score:5.989207680000001, epsilon:0.9955378000001469, global step:24957, avg_qmax:0.03594111414534635, memory:24957
episode:158, score:5.989207680000001, epsilon:0.9954217000001507, global step:25086, avg_qmax:0.035349992746415065, memory:25086
episode:159, score:5.8332128, epsilon:0.9952948000001549, global step:25227, avg_qmax:0.040503715158354305, memory:25227
episode:160, score:6.5982515200000025, epsilon:0.9951436000001599, global step:25395, avg_qmax:0.03411184399876566, memory:25395
episode:161, score:4.565339520000001, epsilon:0.995048200000163, global step:25501, avg_qmax:0.03283174262153653, memory:25501
episode:162, score:5.90125312, epsilon:0.9949186000001673, global step:25645, avg_qmax:0.03809992935405009, memory:25645
episode:163, score:7.5740492800000006, epsilon:0.9947800000001719, global step:25799, avg_qmax:0.033294860188933934, memory:25799
episode:164, score:30.639182719999994, epsilon:0.9945739000001786, global step:26028, avg_qmax:0.03716291106554098, memory:26028
episode:165, score:29.74636096000001, epsilon:0.9943642000001855, global step:26261, avg_qmax:0.03302551100885919, memory:26261
episode:166, score:5.833212800000001, epsilon:0.9942472000001894, global step:26391, avg_qmax:0.041336554317520216, memory:26391
episode:167, score:5.32539968, epsilon:0.994136500000193, global step:26514, avg_qmax:0.03039292470226443, memory:26514
episode:168, score:30.448337919999993, epsilon:0.9939376000001996, global step:26735, avg_qmax:0.03557672112236195, memory:26735
episode:169, score:7.662003840000004, epsilon:0.9937801000002048, global step:26910, avg_qmax:0.0332636182648795, memory:26910
episode:170, score:27.35831168000001, epsilon:0.9936253000002099, global step:27082, avg_qmax:0.04046775441790043, memory:27082
episode:171, score:7.057938560000002, epsilon:0.9934840000002145, global step:27239, avg_qmax:0.035099457024009365, memory:27239
episode:172, score:30.83832512, epsilon:0.9932707000002216, global step:27476, avg_qmax:0.03421309285400286, memory:27476
episode:173, score:7.623834880000002, epsilon:0.9931195000002265, global step:27644, avg_qmax:0.04133002375740381, memory:27644
episode:174, score:29.500752000000006, epsilon:0.9929188000002331, global step:27867, avg_qmax:0.033896632793238346, memory:27867
episode:175, score:7.814679680000001, epsilon:0.9927613000002383, global step:28042, avg_qmax:0.03437349283269474, memory:28042
episode:176, score:4.38611136, epsilon:0.9926722000002413, global step:28141, avg_qmax:0.035261564370658666, memory:28141
episode:177, score:4.56533952, epsilon:0.9925822000002442, global step:28241, avg_qmax:0.033766597919166086, memory:28241
episode:178, score:6.28626176, epsilon:0.9924571000002483, global step:28380, avg_qmax:0.02813218260626141, memory:28380
episode:179, score:29.211995519999995, epsilon:0.9922771000002543, global step:28580, avg_qmax:0.03925050435587764, memory:28580
episode:180, score:5.692153600000001, epsilon:0.992162800000258, global step:28707, avg_qmax:0.03476980346159672, memory:28707
episode:181, score:7.666982400000001, epsilon:0.9919981000002634, global step:28890, avg_qmax:0.03281506503133175, memory:28890
episode:182, score:6.5318707200000015, epsilon:0.991861300000268, global step:29042, avg_qmax:0.03859871706778282, memory:29042
episode:183, score:5.234126080000003, epsilon:0.9917551000002715, global step:29160, avg_qmax:0.03526398615311768, memory:29160
episode:184, score:6.61816576, epsilon:0.9916219000002758, global step:29308, avg_qmax:0.03248257502108007, memory:29308
episode:185, score:7.346695040000004, epsilon:0.991466200000281, global step:29481, avg_qmax:0.03287819613611078, memory:29481
episode:186, score:28.813710720000003, epsilon:0.9912916000002867, global step:29675, avg_qmax:0.035575905392311286, memory:29675
episode:187, score:29.009534080000005, epsilon:0.9911089000002927, global step:29878, avg_qmax:0.039014165679662684, memory:29878
episode:188, score:6.96832448, epsilon:0.9909568000002977, global step:30047, avg_qmax:0.04048225085234501, memory:30047
episode:189, score:28.261090560000003, epsilon:0.9907903000003032, global step:30232, avg_qmax:0.06875644090610582, memory:30232
episode:190, score:7.814679680000003, epsilon:0.9906391000003082, global step:30400, avg_qmax:0.06216281160180058, memory:30400
episode:191, score:5.69879168, epsilon:0.9905131000003123, global step:30540, avg_qmax:0.06558407420026405, memory:30540
episode:192, score:30.825048959999982, epsilon:0.9903259000003185, global step:30748, avg_qmax:0.05898453384781113, memory:30748
episode:193, score:7.81799872, epsilon:0.9901684000003237, global step:30923, avg_qmax:0.0643673228578908, memory:30923
episode:194, score:5.4515232000000005, epsilon:0.9900595000003273, global step:31044, avg_qmax:0.06494145646445022, memory:31044
episode:195, score:7.295249920000002, epsilon:0.9899182000003319, global step:31201, avg_qmax:0.06385370654759893, memory:31201
episode:196, score:7.603920640000002, epsilon:0.989763400000337, global step:31373, avg_qmax:0.05903265716204809, memory:31373
episode:197, score:29.294971519999997, epsilon:0.9895852000003429, global step:31571, avg_qmax:0.06006936168279311, memory:31571
episode:198, score:5.451523200000001, epsilon:0.9894790000003464, global step:31689, avg_qmax:0.05709553446810124, memory:31689
episode:199, score:6.827265280000001, epsilon:0.9893368000003511, global step:31847, avg_qmax:0.06471444308003292, memory:31847
episode:200, score:5.156128640000002, epsilon:0.9892279000003547, global step:31968, avg_qmax:0.05438096969088247, memory:31968
episode:201, score:7.346695040000004, epsilon:0.9890686000003599, global step:32145, avg_qmax:0.06472510236215456, memory:32145
episode:202, score:6.214902400000001, epsilon:0.9889291000003645, global step:32300, avg_qmax:0.06246188412750921, memory:32300
episode:203, score:8.09181952, epsilon:0.98876260000037, global step:32485, avg_qmax:0.06767605611601392, memory:32485
episode:204, score:29.39122368000001, epsilon:0.9885772000003761, global step:32691, avg_qmax:0.06022779426528412, memory:32691
episode:205, score:6.599911040000001, epsilon:0.9884377000003807, global step:32846, avg_qmax:0.058967686805032914, memory:32846
episode:206, score:7.104405120000002, epsilon:0.9882883000003856, global step:33012, avg_qmax:0.06375440452472274, memory:33012
episode:207, score:7.1193408, epsilon:0.9881380000003905, global step:33179, avg_qmax:0.06152670665415461, memory:33179
episode:208, score:8.217943040000002, epsilon:0.987971500000396, global step:33364, avg_qmax:0.06433578359114157, memory:33364
episode:209, score:5.97095296, epsilon:0.9878482000004001, global step:33501, avg_qmax:0.06713889245569271, memory:33501
episode:210, score:7.122659840000001, epsilon:0.9877087000004047, global step:33656, avg_qmax:0.06063301611331201, memory:33656
episode:211, score:74.14242944, epsilon:0.9874540000004131, global step:33939, avg_qmax:0.06298185397900456, memory:33939
episode:212, score:6.352642560000001, epsilon:0.9873235000004174, global step:34084, avg_qmax:0.06152152943200079, memory:34084
episode:213, score:7.20729536, epsilon:0.9871921000004217, global step:34230, avg_qmax:0.05995001980703171, memory:34230
episode:214, score:7.054619520000003, epsilon:0.9870553000004262, global step:34382, avg_qmax:0.05708516545985874, memory:34382
episode:215, score:6.44225664, epsilon:0.9869131000004309, global step:34540, avg_qmax:0.05909499681637257, memory:34540
episode:216, score:6.828924799999999, epsilon:0.9867781000004353, global step:34690, avg_qmax:0.061832039505243304, memory:34690
episode:217, score:49.06927679999999, epsilon:0.9865945000004414, global step:34894, avg_qmax:0.060147122279101725, memory:34894
episode:218, score:7.346695040000002, epsilon:0.9864388000004465, global step:35067, avg_qmax:0.05519291569042757, memory:35067
episode:219, score:28.75894656, epsilon:0.9862795000004517, global step:35244, avg_qmax:0.0671606999585184, memory:35244
episode:220, score:4.77443904, epsilon:0.986178700000455, global step:35356, avg_qmax:0.06395338442442673, memory:35356
episode:221, score:28.139945599999997, epsilon:0.985996900000461, global step:35558, avg_qmax:0.06356539935021117, memory:35558
episode:222, score:30.10979584, epsilon:0.9857827000004681, global step:35796, avg_qmax:0.06290830474566012, memory:35796
episode:223, score:8.023779200000003, epsilon:0.9856171000004735, global step:35980, avg_qmax:0.06465465587604305, memory:35980
episode:224, score:5.001793280000001, epsilon:0.9855181000004768, global step:36090, avg_qmax:0.06294862309640104, memory:36090
episode:225, score:7.054619520000001, epsilon:0.9853786000004814, global step:36245, avg_qmax:0.06134358384916859, memory:36245
episode:226, score:28.151562240000004, epsilon:0.985207600000487, global step:36435, avg_qmax:0.0622769018144984, memory:36435
episode:227, score:4.0077408000000005, epsilon:0.9851230000004898, global step:36529, avg_qmax:0.0620417168482821, memory:36529
episode:228, score:76.62673088000004, epsilon:0.984842200000499, global step:36841, avg_qmax:0.06239364367838089, memory:36841
episode:229, score:7.5740492800000006, epsilon:0.9847000000005037, global step:36999, avg_qmax:0.06594498271617709, memory:36999
episode:230, score:7.44792576, epsilon:0.9845551000005085, global step:37160, avg_qmax:0.06322421411179607, memory:37160
episode:231, score:29.032767359999994, epsilon:0.9843814000005142, global step:37353, avg_qmax:0.06311506179639095, memory:37353
episode:232, score:6.042312319999999, epsilon:0.9842509000005185, global step:37498, avg_qmax:0.06174480837994609, memory:37498
episode:233, score:5.205914240000002, epsilon:0.984144700000522, global step:37616, avg_qmax:0.05966076955704366, memory:37616
episode:234, score:5.989207680000002, epsilon:0.9840259000005259, global step:37748, avg_qmax:0.059314841122338265, memory:37748
episode:235, score:6.286261760000002, epsilon:0.9838963000005302, global step:37892, avg_qmax:0.05900243209261033, memory:37892
episode:236, score:6.599911040000001, epsilon:0.9837523000005349, global step:38052, avg_qmax:0.06586706419475377, memory:38052
episode:237, score:7.2570809600000015, epsilon:0.9836137000005395, global step:38206, avg_qmax:0.06324003612646809, memory:38206
episode:238, score:7.814679680000001, epsilon:0.9834670000005443, global step:38369, avg_qmax:0.06037283697925462, memory:38369
